,participant.label,yahoo_id,key_word,completion_status,participant.payoff,PayPay_exchanged,PayPay_ceiled
0,10001,1235760323,A7K3B,Success,50,300,300
1,10002,1235232160,A7K3B,Success,34,236,240
2,10003,1237078326,A7K3B,Success,12,148,150
3,10004,1234011003,A7K3B,Success,32,228,230
4,10005,1234398521,A7K3B,Success,4,116,120
5,10006,1233449113,A7K3B,Success,30,220,220
6,10008,1236211733,A7K3B,Success,40,260,260
7,10009,1235414834,A7K3B,Success,5,120,120
8,10010,1236962682,A7K3B,Success,10,140,140
9,10011,1232967173,A7K3B,Success,44,276,280
10,10012,1237771326,A7K3B,Success,24,196,200
11,10013,1233898505,A7K3B,Success,40,260,260
12,10014,1232550322,A7K3B,Success,0,100,100
13,10015,1224944955,A7K3B,Success,0,100,100
14,10016,1233693883,A7K3B,Success,20,180,180
15,10017,1233725127,A7K3B,Success,4,118,120
16,10019,1234661974,A7K3B,Success,14,156,160
17,10020,1232670859,A7K3B,Success,4,117,120
18,10021,1232944809,A7K3B,Success,4,119,120
19,10022,1232000614,A7K3B,Success,4,116,120
20,10023,1233440454,A7K3B,Success,36,244,250
21,10025,1229479352,A7K3B,Success,14,156,160
22,10026,1230123043,A7K3B,Success,3,114,120
23,10027,1234197981,A7K3B,Success,16,164,170
24,10028,1237913367,A7K3B,Success,2,108,110
25,10029,1236230049,A7K3B,Success,2,109,110
26,10030,1238653743,X7R5T,Ungrouped,0,100,100
27,10031,1237792425,A7K3B,Success,26,204,210
28,10032,1228610714,A7K3B,Success,40,260,260
29,10033,1229623487,A7K3B,Success,5,120,120
30,10034,1238949204,A7K3B,Success,32,228,230
31,10035,1228484420,A7K3B,Success,30,220,220
32,10037,1224934942,A7K3B,Success,12,148,150
33,10038,1237957843,A7K3B,Success,40,260,260
34,10040,1235490203,A7K3B,Success,32,228,230
35,10041,1224938299,A7K3B,Success,4,116,120
36,10042,1234359492,A7K3B,Success,0,100,100
37,10043,1230757608,A7K3B,Success,30,220,220
38,10044,1224940519,A7K3B,Success,2,108,110
39,10045,1234664424,A7K3B,Success,40,260,260
40,10046,1232607180,A7K3B,Success,6,124,130
41,10047,1232159264,A7K3B,Success,50,300,300
42,10048,1225777013,A7K3B,Success,50,300,300
43,10049,1232689511,A7K3B,Success,2,109,110
44,10050,1231631796,A7K3B,Success,30,220,220
45,10051,1236380543,A7K3B,Success,16,164,170
46,10052,1236807094,A7K3B,Success,0,100,100
47,10053,1230061334,A7K3B,Success,2,111,120
48,10054,1237700957,A7K3B,Success,18,172,180
49,10055,1239210236,A7K3B,Success,38,252,260
50,10056,1237273534,A7K3B,Success,0,100,100
51,10057,1237662494,A7K3B,Success,8,132,140
52,10058,1230924539,A7K3B,Success,8,132,140
53,10060,1231920741,A7K3B,Success,36,244,250
54,10061,1233523621,A7K3B,Success,3,115,120
55,10063,1225809034,A7K3B,Success,6,124,130
56,10065,1232136291,A7K3B,Success,40,260,260
57,10066,1229752932,A7K3B,Success,12,148,150
58,10069,1232657212,A7K3B,Success,4,116,120
59,10070,1234965726,A7K3B,Success,10,140,140
60,10071,1237146426,A7K3B,Success,4,116,120
61,10072,1239940468,A7K3B,Success,6,124,130
62,10073,1234136495,A7K3B,Success,10,140,140
63,10075,1226927602,A7K3B,Success,5,120,120
64,10076,1238712311,A7K3B,Success,2,108,110
65,10077,1232629628,A7K3B,Success,10,140,140
66,10079,1232726676,A7K3B,Success,30,220,220
67,10080,1231198994,X7R5T,Ungrouped,0,100,100
68,10081,1235801874,A7K3B,Success,14,156,160
69,10082,1231289086,A7K3B,Success,0,100,100
70,10083,1231416143,A7K3B,Success,40,260,260
71,10084,1239198687,A7K3B,Success,18,172,180
72,10085,1235454573,A7K3B,Success,5,120,120
73,10087,1224970996,A7K3B,Success,10,140,140
74,10088,1236005382,A7K3B,Success,0,101,110
75,10089,1229115773,A7K3B,Success,40,260,260
76,10090,1233586094,A7K3B,Success,36,244,250
77,10091,1232929533,A7K3B,Success,14,156,160
78,10092,1239844626,A7K3B,Success,32,228,230
79,10093,1233063755,A7K3B,Success,22,188,190
80,10094,1229250703,A7K3B,Success,2,108,110
81,10096,1233704793,A7K3B,Success,0,100,100
82,10097,1233811808,A7K3B,Success,2,108,110
83,10098,1237404117,A7K3B,Success,4,116,120
84,10099,1236629912,A7K3B,Success,4,119,120
85,10100,1236154647,A7K3B,Success,36,244,250
