設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F3用)	F1:ラベル	F2:ラベル	F3:テキストエリア	F4:ラベル
1	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
2	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
3	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
4	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
5	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
6	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
7	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
8	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
9	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
10	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
11	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
12	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
13	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
14	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
15	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
16	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
17	0		以下のテキストボックス内に「ポイントを受け取ります」と入力して送信してください			
